,loss,val_loss
218,6.872536323498935e-05,6.835904059698805e-05
219,6.839601701358333e-05,7.620259566465393e-05
220,6.852061778772622e-05,6.929608935024589e-05
221,6.790785846533254e-05,7.895982707850635e-05
222,6.87598658259958e-05,6.940940511412919e-05
223,6.864118040539324e-05,7.31300751795061e-05
224,6.852790102129802e-05,7.40830073482357e-05
225,6.849682540632784e-05,7.967032433953136e-05
226,6.831776408944279e-05,7.795200508553535e-05
227,6.895906699355692e-05,6.863070302642882e-05
228,6.888937059557065e-05,8.670878014527261e-05
229,6.852437945781276e-05,6.840192509116605e-05
230,6.86615749145858e-05,6.748152372892946e-05
231,6.819509872002527e-05,7.096032641129568e-05
232,6.785179721191525e-05,7.391766121145338e-05
233,6.821349961683154e-05,6.850538920843974e-05
234,6.845277675893158e-05,7.102737436071038e-05
235,6.884014146635309e-05,6.8012232077308e-05
236,6.828556797700003e-05,6.898574065417051e-05
237,6.802940333727747e-05,8.102367428364232e-05
238,6.891593511682004e-05,8.237946894951165e-05
239,6.844098243163899e-05,7.725922478130087e-05
240,6.909468356752768e-05,7.07877115928568e-05
241,6.816086533945054e-05,6.782799755455926e-05
242,6.786055746488273e-05,6.893647514516488e-05
243,6.801114795962349e-05,6.91120294504799e-05
244,6.800441042287275e-05,7.973789615789428e-05
245,6.823344301665202e-05,6.744911661371589e-05
246,6.861406291136518e-05,6.772342749172822e-05
247,6.826244498370215e-05,7.232320785988122e-05
248,6.848484190413728e-05,7.251058559631929e-05
249,6.779806426493451e-05,7.34920977265574e-05
250,6.84403712511994e-05,6.803378346376121e-05
251,6.812130595790222e-05,7.747662311885506e-05
252,6.828407640568912e-05,6.840089190518484e-05
253,6.843908340670168e-05,6.770994514226913e-05
254,6.848709017504007e-05,6.782857235521078e-05
255,6.790288898628205e-05,6.84980332152918e-05
256,6.855250103399158e-05,6.803204450989142e-05
257,6.8762426963076e-05,6.857474363641813e-05
258,6.85429185978137e-05,6.924223271198571e-05
259,6.877056148368865e-05,7.636163354618475e-05
260,6.831369682913646e-05,6.973006384214386e-05
261,6.801894778618589e-05,6.867067713756114e-05
262,6.891993689350784e-05,8.470777538605034e-05
263,6.815662345616147e-05,6.756707443855703e-05
264,6.805091834394261e-05,8.930133481044322e-05
265,6.892788951518014e-05,7.007617386989295e-05
266,6.825596938142553e-05,7.039626507321373e-05
267,6.844756717327982e-05,6.770297477487475e-05
268,6.774579378543422e-05,6.898676656419411e-05
269,6.846203905297443e-05,7.150509190978482e-05
270,6.845965253887698e-05,6.841753202024847e-05
271,6.80752782500349e-05,7.12948021828197e-05
272,6.827841571066529e-05,6.904659676365554e-05
273,6.762341217836365e-05,6.754928472219035e-05
274,6.809926708228886e-05,7.530723087256774e-05
275,6.804445729358122e-05,8.587136107962579e-05
276,6.8845329224132e-05,7.625295256730169e-05
277,6.792341446271166e-05,7.730771176284179e-05
278,6.813120853621513e-05,6.859384302515537e-05
279,6.760807445971295e-05,6.816085806349292e-05
280,6.743972335243598e-05,7.235491648316383e-05
281,6.876225234009326e-05,6.800924893468618e-05
282,6.799143011448905e-05,8.540366980014369e-05
283,6.861037400085479e-05,6.908127397764474e-05
284,6.802420102758333e-05,6.819513509981334e-05
285,6.783459684811532e-05,6.821402348577976e-05
286,6.782486889278516e-05,7.529673894168809e-05
287,6.817573739681393e-05,6.936502904864028e-05
288,6.809086335124448e-05,6.892449164297432e-05
289,6.866000330774114e-05,6.83638354530558e-05
290,6.824141019023955e-05,7.364626071648672e-05
291,6.784418656025082e-05,6.941760511836037e-05
292,6.804854638176039e-05,6.784244033042341e-05
293,6.862841109978035e-05,6.885045149829239e-05
294,6.825536547694355e-05,6.783382559660822e-05
295,6.847973418189213e-05,6.848570774309337e-05
296,6.796360685257241e-05,7.110133446985856e-05
297,6.84134938637726e-05,6.825115269748494e-05
298,6.823903822805732e-05,6.83740945532918e-05
299,6.825107266195118e-05,7.071559957694262e-05
300,6.806956662330776e-05,6.747144652763382e-05
301,6.762002885807306e-05,7.044324593152851e-05
302,6.827132165199146e-05,6.906720227561891e-05
303,6.85204504407011e-05,6.83834296069108e-05
304,6.82904283166863e-05,6.823382136644796e-05
305,6.730905442964286e-05,7.418225868605077e-05
306,6.814273365307599e-05,6.931758252903819e-05
307,6.79139920976013e-05,7.211561023723334e-05
308,6.806231976952404e-05,6.715864583384246e-05
309,6.750931061105803e-05,7.702943548792973e-05
310,6.83399848639965e-05,6.767096783732995e-05
311,6.801493873354048e-05,6.866088369861245e-05
312,6.737907096976414e-05,6.83455218677409e-05
313,6.801082781748846e-05,7.68710087868385e-05
314,6.899156869621947e-05,7.372738036792725e-05
